geoid,category,age_bin,year,combined_count,ed_count,inp_count
34007600200,EB,65+,2019,<5,<5,<5
34007600400,EB,65+,2019,7,<5,6
34007600700,EB,65+,2019,<5,<5,<5
34007600800,EB,65+,2019,21,<5,18
34007600900,EB,65+,2019,<5,<5,<5
34007601000,EB,65+,2019,6,<5,<5
34007601101,EB,65+,2019,7,<5,<5
34007601102,EB,65+,2019,15,10,8
34007601200,EB,65+,2019,12,6,7
34007601300,EB,65+,2019,16,10,10
34007601400,EB,65+,2019,19,11,15
34007601500,EB,65+,2019,13,7,11
34007601600,EB,65+,2019,<5,<5,<5
34007601700,EB,65+,2019,<5,<5,<5
34007601800,EB,65+,2019,<5,<5,<5
34007601900,EB,65+,2019,5,<5,5
34007602000,EB,65+,2019,13,5,10
34007602503,EB,65+,2019,<5,<5,<5
34007602601,EB,65+,2019,5,<5,<5
34007602602,EB,65+,2019,5,<5,5
34007602901,EB,65+,2019,19,6,16
34007602902,EB,65+,2019,5,<5,<5
34007603001,EB,65+,2019,7,<5,6
34007603002,EB,65+,2019,13,<5,12
34007603100,EB,65+,2019,6,<5,5
34007603200,EB,65+,2019,84,29,64
34007603301,EB,65+,2019,52,17,45
34007603302,EB,65+,2019,37,19,22
34007603303,EB,65+,2019,31,8,23
34007603400,EB,65+,2019,58,25,43
34007603501,EB,65+,2019,5,<5,<5
34007603503,EB,65+,2019,<5,0,<5
34007603505,EB,65+,2019,5,<5,5
34007603506,EB,65+,2019,7,6,<5
34007603507,EB,65+,2019,9,<5,7
34007603601,EB,65+,2019,54,25,37
34007603602,EB,65+,2019,6,<5,<5
34007603603,EB,65+,2019,<5,0,<5
34007603700,EB,65+,2019,39,16,29
34007603800,EB,65+,2019,<5,<5,<5
34007603901,EB,65+,2019,17,5,15
34007603902,EB,65+,2019,15,5,12
34007604100,EB,65+,2019,12,6,7
34007604200,EB,65+,2019,35,14,27
34007604300,EB,65+,2019,5,<5,<5
34007604400,EB,65+,2019,11,<5,10
34007604600,EB,65+,2019,<5,0,<5
34007604700,EB,65+,2019,7,<5,6
34007605100,EB,65+,2019,<5,<5,<5
34007605200,EB,65+,2019,<5,<5,<5
34007605300,EB,65+,2019,5,<5,<5
34007605400,EB,65+,2019,9,<5,7
34007605602,EB,65+,2019,<5,0,<5
34007605700,EB,65+,2019,6,0,6
34007605800,EB,65+,2019,7,5,5
34007605900,EB,65+,2019,<5,0,<5
34007606000,EB,65+,2019,5,<5,<5
34007606100,EB,65+,2019,<5,<5,<5
34007606200,EB,65+,2019,<5,0,<5
34007606300,EB,65+,2019,<5,<5,<5
34007606400,EB,65+,2019,12,5,9
34007606500,EB,65+,2019,12,<5,9
34007606600,EB,65+,2019,8,<5,8
34007606700,EB,65+,2019,10,<5,8
34007606800,EB,65+,2019,5,<5,5
34007607000,EB,65+,2019,7,<5,<5
34007607100,EB,65+,2019,6,<5,<5
34007607200,EB,65+,2019,7,<5,5
34007607300,EB,65+,2019,6,<5,<5
34007607401,EB,65+,2019,5,<5,<5
34007607402,EB,65+,2019,5,0,5
34007607502,EB,65+,2019,52,20,38
34007607503,EB,65+,2019,41,18,30
34007607504,EB,65+,2019,6,5,<5
34007607505,EB,65+,2019,<5,<5,0
34007607506,EB,65+,2019,<5,<5,<5
34007607507,EB,65+,2019,33,10,25
34007607600,EB,65+,2019,<5,<5,<5
34007607701,EB,65+,2019,12,<5,10
34007607702,EB,65+,2019,11,<5,9
34007607801,EB,65+,2019,6,0,6
34007607802,EB,65+,2019,5,<5,<5
34007608001,EB,65+,2019,12,<5,10
34007608202,EB,65+,2019,6,<5,6
34007608205,EB,65+,2019,5,0,5
34007608206,EB,65+,2019,8,<5,5
34007608209,EB,65+,2019,5,<5,<5
34007608210,EB,65+,2019,<5,<5,<5
34007608211,EB,65+,2019,8,0,8
34007608302,EB,65+,2019,17,5,14
34007608303,EB,65+,2019,<5,0,<5
34007608304,EB,65+,2019,13,6,7
34007608401,EB,65+,2019,<5,0,<5
34007608402,EB,65+,2019,6,<5,5
34007608403,EB,65+,2019,6,<5,5
34007608404,EB,65+,2019,13,<5,12
34007608503,EB,65+,2019,10,<5,9
34007608504,EB,65+,2019,10,<5,7
34007608600,EB,65+,2019,7,<5,5
34007608700,EB,65+,2019,19,<5,16
34007608800,EB,65+,2019,<5,0,<5
34007608901,EB,65+,2019,6,<5,5
34007608904,EB,65+,2019,<5,<5,0
34007609000,EB,65+,2019,<5,<5,<5
34007609103,EB,65+,2019,10,<5,7
34007609201,EB,65+,2019,<5,0,<5
34007609202,EB,65+,2019,6,0,6
34007609203,EB,65+,2019,10,<5,10
34007609204,EB,65+,2019,<5,<5,<5
34007609205,EB,65+,2019,<5,0,<5
34007610300,EB,65+,2019,<5,0,<5
34007610400,EB,65+,2019,<5,<5,<5
34007610500,EB,65+,2019,22,7,17
34007610600,EB,65+,2019,28,15,20
34007610800,EB,65+,2019,24,15,13
34007610900,EB,65+,2019,10,<5,7
34007611000,EB,65+,2019,5,<5,<5
34007611100,EB,65+,2019,9,<5,9
34007611200,EB,65+,2019,36,11,29
34007611300,EB,65+,2019,7,<5,6
34007611400,EB,65+,2019,6,<5,<5
34007611500,EB,65+,2019,<5,0,<5
34007611600,EB,65+,2019,15,<5,14
34007611700,EB,65+,2019,<5,<5,<5
34007600200,EF,18-64,2019,<5,<5,0
34007600400,EF,18-64,2019,8,7,<5
34007600700,EF,18-64,2019,<5,<5,<5
34007600800,EF,18-64,2019,11,9,<5
34007600900,EF,18-64,2019,9,9,0
34007601000,EF,18-64,2019,8,7,<5
34007601101,EF,18-64,2019,6,6,0
34007601102,EF,18-64,2019,<5,<5,<5
34007601200,EF,18-64,2019,5,<5,<5
34007601300,EF,18-64,2019,10,9,<5
34007601400,EF,18-64,2019,10,9,<5
34007601500,EF,18-64,2019,11,10,<5
34007601700,EF,18-64,2019,8,7,<5
34007601800,EF,18-64,2019,<5,<5,<5
34007601900,EF,18-64,2019,<5,<5,<5
34007602000,EF,18-64,2019,16,15,<5
34007602503,EF,18-64,2019,<5,<5,0
34007602601,EF,18-64,2019,<5,<5,0
34007602602,EF,18-64,2019,<5,<5,0
34007602901,EF,18-64,2019,<5,<5,0
34007602902,EF,18-64,2019,<5,<5,<5
34007603001,EF,18-64,2019,5,5,0
34007603002,EF,18-64,2019,6,6,0
34007603100,EF,18-64,2019,<5,<5,<5
34007603200,EF,18-64,2019,8,7,<5
34007603301,EF,18-64,2019,<5,<5,<5
34007603302,EF,18-64,2019,<5,<5,0
34007603303,EF,18-64,2019,<5,<5,0
34007603400,EF,18-64,2019,<5,<5,0
34007603501,EF,18-64,2019,<5,<5,0
34007603505,EF,18-64,2019,<5,<5,0
34007603506,EF,18-64,2019,<5,<5,0
34007603507,EF,18-64,2019,<5,<5,0
34007603601,EF,18-64,2019,<5,<5,0
34007603603,EF,18-64,2019,<5,<5,<5
34007603700,EF,18-64,2019,<5,<5,0
34007603800,EF,18-64,2019,<5,<5,0
34007603901,EF,18-64,2019,<5,<5,0
34007603902,EF,18-64,2019,<5,<5,<5
34007604100,EF,18-64,2019,9,9,0
34007604200,EF,18-64,2019,<5,<5,0
34007604300,EF,18-64,2019,<5,<5,0
34007604400,EF,18-64,2019,<5,<5,0
34007604600,EF,18-64,2019,<5,0,<5
34007605100,EF,18-64,2019,<5,<5,0
34007605200,EF,18-64,2019,<5,<5,<5
34007605400,EF,18-64,2019,<5,<5,<5
34007605602,EF,18-64,2019,<5,<5,0
34007605800,EF,18-64,2019,<5,<5,0
34007605900,EF,18-64,2019,<5,0,<5
34007606200,EF,18-64,2019,<5,<5,0
34007606500,EF,18-64,2019,5,<5,<5
34007606600,EF,18-64,2019,<5,<5,0
34007606700,EF,18-64,2019,<5,<5,0
34007606800,EF,18-64,2019,<5,<5,0
34007607000,EF,18-64,2019,<5,<5,<5
34007607100,EF,18-64,2019,<5,<5,0
34007607200,EF,18-64,2019,<5,<5,<5
34007607300,EF,18-64,2019,<5,<5,0
34007607401,EF,18-64,2019,<5,<5,<5
34007607402,EF,18-64,2019,<5,<5,0
34007607502,EF,18-64,2019,<5,<5,0
34007607503,EF,18-64,2019,<5,<5,<5
34007607504,EF,18-64,2019,<5,<5,0
34007607507,EF,18-64,2019,<5,<5,0
34007607600,EF,18-64,2019,<5,0,<5
34007607701,EF,18-64,2019,5,5,0
34007607702,EF,18-64,2019,<5,<5,<5
34007607801,EF,18-64,2019,<5,<5,0
34007607802,EF,18-64,2019,<5,<5,0
34007608202,EF,18-64,2019,<5,<5,0
34007608209,EF,18-64,2019,<5,0,<5
34007608210,EF,18-64,2019,7,6,<5
34007608211,EF,18-64,2019,6,6,0
34007608302,EF,18-64,2019,5,<5,<5
34007608304,EF,18-64,2019,<5,<5,0
34007608402,EF,18-64,2019,<5,<5,0
34007608403,EF,18-64,2019,<5,<5,0
34007608404,EF,18-64,2019,<5,0,<5
34007608503,EF,18-64,2019,<5,<5,0
34007608504,EF,18-64,2019,<5,<5,0
34007608600,EF,18-64,2019,<5,<5,0
34007608700,EF,18-64,2019,<5,<5,<5
34007608800,EF,18-64,2019,<5,<5,0
34007608901,EF,18-64,2019,<5,<5,<5
34007608903,EF,18-64,2019,<5,0,<5
34007608904,EF,18-64,2019,<5,<5,0
34007609103,EF,18-64,2019,<5,<5,<5
34007609202,EF,18-64,2019,7,<5,<5
34007609203,EF,18-64,2019,<5,<5,0
34007609204,EF,18-64,2019,<5,<5,<5
34007609205,EF,18-64,2019,<5,0,<5
34007610300,EF,18-64,2019,<5,<5,0
34007610400,EF,18-64,2019,9,9,0
34007610500,EF,18-64,2019,9,7,<5
34007610600,EF,18-64,2019,<5,<5,<5
34007610800,EF,18-64,2019,<5,<5,0
34007611000,EF,18-64,2019,6,5,<5
34007611100,EF,18-64,2019,<5,<5,0
34007611200,EF,18-64,2019,<5,<5,<5
34007611300,EF,18-64,2019,<5,<5,0
34007611600,EF,18-64,2019,6,6,0
34007611700,EF,18-64,2019,<5,<5,0
34007600400,EF,65+,2019,<5,<5,<5
34007600700,EF,65+,2019,<5,<5,0
34007600800,EF,65+,2019,<5,<5,<5
34007600900,EF,65+,2019,<5,<5,<5
34007601000,EF,65+,2019,<5,<5,0
34007601101,EF,65+,2019,<5,0,<5
34007601102,EF,65+,2019,<5,<5,0
34007601200,EF,65+,2019,<5,<5,<5
34007601300,EF,65+,2019,<5,<5,<5
34007601400,EF,65+,2019,<5,<5,<5
34007601500,EF,65+,2019,<5,<5,<5
34007601600,EF,65+,2019,<5,<5,<5
34007601700,EF,65+,2019,<5,0,<5
34007601800,EF,65+,2019,<5,<5,<5
34007601900,EF,65+,2019,<5,<5,<5
34007602000,EF,65+,2019,<5,<5,<5
34007602503,EF,65+,2019,<5,<5,<5
34007602601,EF,65+,2019,<5,<5,<5
34007602602,EF,65+,2019,<5,<5,0
34007602901,EF,65+,2019,<5,<5,<5
34007602902,EF,65+,2019,<5,<5,0
34007603001,EF,65+,2019,<5,<5,<5
34007603002,EF,65+,2019,<5,<5,<5
34007603100,EF,65+,2019,<5,<5,<5
34007603200,EF,65+,2019,9,6,<5
34007603301,EF,65+,2019,<5,<5,<5
34007603302,EF,65+,2019,<5,<5,<5
34007603303,EF,65+,2019,<5,0,<5
34007603400,EF,65+,2019,6,<5,<5
34007603504,EF,65+,2019,<5,<5,0
34007603505,EF,65+,2019,<5,<5,0
34007603506,EF,65+,2019,7,<5,5
34007603507,EF,65+,2019,7,<5,5
34007603601,EF,65+,2019,7,<5,5
34007603602,EF,65+,2019,<5,<5,0
34007603603,EF,65+,2019,<5,<5,0
34007603700,EF,65+,2019,<5,<5,<5
34007603800,EF,65+,2019,<5,<5,0
34007603901,EF,65+,2019,<5,<5,<5
34007603902,EF,65+,2019,<5,<5,<5
34007604100,EF,65+,2019,<5,<5,0
34007604200,EF,65+,2019,<5,<5,<5
34007604300,EF,65+,2019,<5,<5,0
34007604400,EF,65+,2019,<5,<5,0
34007604600,EF,65+,2019,<5,<5,0
34007604700,EF,65+,2019,<5,0,<5
34007605100,EF,65+,2019,<5,<5,<5
34007605200,EF,65+,2019,<5,0,<5
34007605400,EF,65+,2019,<5,<5,<5
34007605700,EF,65+,2019,<5,0,<5
34007606000,EF,65+,2019,<5,0,<5
34007606300,EF,65+,2019,<5,0,<5
34007606400,EF,65+,2019,<5,0,<5
34007606500,EF,65+,2019,<5,<5,<5
