geoid,category,age_bin,year,combined_count,ed_count,inp_count
34007600200,EB,18-64,2017,11,10,<5
34007600400,EB,18-64,2017,23,20,6
34007600700,EB,18-64,2017,16,10,6
34007600800,EB,18-64,2017,42,32,14
34007600900,EB,18-64,2017,14,13,5
34007601000,EB,18-64,2017,11,7,6
34007601101,EB,18-64,2017,10,8,<5
34007601102,EB,18-64,2017,16,12,5
34007601200,EB,18-64,2017,22,19,6
34007601300,EB,18-64,2017,25,19,8
34007601400,EB,18-64,2017,25,20,10
34007601500,EB,18-64,2017,33,22,14
34007601600,EB,18-64,2017,15,10,8
34007601700,EB,18-64,2017,21,18,9
34007601800,EB,18-64,2017,9,7,<5
34007601900,EB,18-64,2017,9,7,<5
34007602000,EB,18-64,2017,36,27,13
34007602503,EB,18-64,2017,5,<5,<5
34007602601,EB,18-64,2017,9,7,<5
34007602602,EB,18-64,2017,<5,<5,<5
34007602901,EB,18-64,2017,12,10,<5
34007602902,EB,18-64,2017,16,13,<5
34007603001,EB,18-64,2017,5,5,0
34007603002,EB,18-64,2017,11,9,<5
34007603100,EB,18-64,2017,8,5,<5
34007603200,EB,18-64,2017,20,10,12
34007603301,EB,18-64,2017,16,14,<5
34007603302,EB,18-64,2017,11,8,<5
34007603303,EB,18-64,2017,13,9,<5
34007603400,EB,18-64,2017,15,12,6
34007603501,EB,18-64,2017,9,7,<5
34007603503,EB,18-64,2017,<5,<5,<5
34007603504,EB,18-64,2017,<5,<5,0
34007603505,EB,18-64,2017,19,15,6
34007603506,EB,18-64,2017,6,6,<5
34007603507,EB,18-64,2017,<5,<5,0
34007603601,EB,18-64,2017,15,10,7
34007603602,EB,18-64,2017,<5,<5,0
34007603603,EB,18-64,2017,<5,<5,0
34007603700,EB,18-64,2017,13,12,<5
34007603800,EB,18-64,2017,8,7,<5
34007603901,EB,18-64,2017,7,7,0
34007603902,EB,18-64,2017,6,<5,<5
34007604100,EB,18-64,2017,8,7,<5
34007604200,EB,18-64,2017,11,7,6
34007604300,EB,18-64,2017,10,6,6
34007604400,EB,18-64,2017,<5,<5,<5
34007604600,EB,18-64,2017,<5,<5,0
34007604700,EB,18-64,2017,<5,<5,<5
34007605100,EB,18-64,2017,<5,<5,0
34007605200,EB,18-64,2017,<5,<5,0
34007605300,EB,18-64,2017,5,<5,<5
34007605400,EB,18-64,2017,<5,<5,0
34007605700,EB,18-64,2017,<5,<5,<5
34007605800,EB,18-64,2017,<5,<5,0
34007605900,EB,18-64,2017,<5,<5,0
34007606000,EB,18-64,2017,<5,<5,0
34007606200,EB,18-64,2017,<5,<5,0
34007606300,EB,18-64,2017,<5,<5,<5
34007606400,EB,18-64,2017,<5,<5,0
34007606500,EB,18-64,2017,12,11,<5
34007606600,EB,18-64,2017,<5,<5,0
34007606700,EB,18-64,2017,10,9,<5
34007606800,EB,18-64,2017,5,<5,<5
34007607000,EB,18-64,2017,<5,<5,0
34007607100,EB,18-64,2017,8,7,<5
34007607200,EB,18-64,2017,16,14,<5
34007607300,EB,18-64,2017,8,7,<5
34007607401,EB,18-64,2017,8,8,<5
34007607402,EB,18-64,2017,8,6,<5
34007607502,EB,18-64,2017,12,7,5
34007607503,EB,18-64,2017,9,7,<5
34007607504,EB,18-64,2017,<5,<5,0
34007607505,EB,18-64,2017,<5,<5,<5
34007607506,EB,18-64,2017,<5,<5,0
34007607507,EB,18-64,2017,13,9,<5
34007607600,EB,18-64,2017,<5,<5,0
34007607701,EB,18-64,2017,22,15,8
34007607702,EB,18-64,2017,23,17,6
34007607801,EB,18-64,2017,26,20,6
34007607802,EB,18-64,2017,9,7,<5
34007607900,EB,18-64,2017,<5,<5,<5
34007608001,EB,18-64,2017,10,9,<5
34007608202,EB,18-64,2017,16,15,<5
34007608205,EB,18-64,2017,<5,<5,<5
34007608206,EB,18-64,2017,<5,<5,<5
34007608209,EB,18-64,2017,13,11,<5
34007608210,EB,18-64,2017,12,12,0
34007608211,EB,18-64,2017,14,12,<5
34007608302,EB,18-64,2017,14,11,<5
34007608303,EB,18-64,2017,7,7,0
34007608304,EB,18-64,2017,14,13,<5
34007608401,EB,18-64,2017,11,9,<5
34007608402,EB,18-64,2017,5,<5,<5
34007608403,EB,18-64,2017,20,16,5
34007608404,EB,18-64,2017,18,15,<5
34007608503,EB,18-64,2017,9,7,<5
34007608504,EB,18-64,2017,28,20,10
34007608600,EB,18-64,2017,18,15,5
34007608700,EB,18-64,2017,7,6,<5
34007608800,EB,18-64,2017,11,9,<5
34007608901,EB,18-64,2017,11,8,<5
34007608903,EB,18-64,2017,5,<5,<5
34007608904,EB,18-64,2017,<5,<5,<5
34007609000,EB,18-64,2017,<5,<5,<5
34007609103,EB,18-64,2017,12,11,<5
34007609201,EB,18-64,2017,14,12,<5
34007609202,EB,18-64,2017,19,17,<5
34007609203,EB,18-64,2017,12,11,<5
34007609204,EB,18-64,2017,9,6,<5
34007609205,EB,18-64,2017,7,<5,<5
34007610300,EB,18-64,2017,<5,<5,<5
34007610400,EB,18-64,2017,54,33,26
34007610500,EB,18-64,2017,17,15,<5
34007610600,EB,18-64,2017,13,8,8
34007610800,EB,18-64,2017,23,16,11
34007610900,EB,18-64,2017,7,5,<5
34007611000,EB,18-64,2017,15,7,11
34007611100,EB,18-64,2017,<5,<5,<5
34007611200,EB,18-64,2017,11,9,<5
34007611300,EB,18-64,2017,13,12,<5
34007611400,EB,18-64,2017,13,11,<5
34007611500,EB,18-64,2017,<5,<5,0
34007611600,EB,18-64,2017,24,22,<5
34007611700,EB,18-64,2017,5,<5,<5
34007600200,EB,65+,2017,5,<5,<5
34007600400,EB,65+,2017,9,6,<5
34007600700,EB,65+,2017,<5,<5,<5
34007600800,EB,65+,2017,33,15,20
34007600900,EB,65+,2017,5,<5,<5
34007601000,EB,65+,2017,12,5,7
34007601101,EB,65+,2017,6,<5,<5
34007601102,EB,65+,2017,<5,0,<5
34007601200,EB,65+,2017,16,9,10
34007601300,EB,65+,2017,12,6,8
34007601400,EB,65+,2017,19,8,12
34007601500,EB,65+,2017,12,5,8
34007601600,EB,65+,2017,5,<5,<5
34007601700,EB,65+,2017,7,<5,6
34007601800,EB,65+,2017,<5,0,<5
34007601900,EB,65+,2017,8,<5,8
34007602000,EB,65+,2017,11,5,7
34007602503,EB,65+,2017,8,<5,6
34007602601,EB,65+,2017,9,<5,6
34007602602,EB,65+,2017,7,0,7
34007602901,EB,65+,2017,21,8,16
34007602902,EB,65+,2017,<5,<5,<5
34007603001,EB,65+,2017,11,<5,10
34007603002,EB,65+,2017,10,<5,6
34007603100,EB,65+,2017,12,<5,9
34007603200,EB,65+,2017,96,36,77
34007603301,EB,65+,2017,79,28,64
34007603302,EB,65+,2017,33,16,23
34007603303,EB,65+,2017,44,15,34
34007603400,EB,65+,2017,43,15,30
34007603501,EB,65+,2017,<5,<5,<5
34007603503,EB,65+,2017,5,<5,<5
34007603504,EB,65+,2017,<5,0,<5
34007603505,EB,65+,2017,9,<5,7
34007603506,EB,65+,2017,<5,0,<5
34007603507,EB,65+,2017,9,<5,6
34007603601,EB,65+,2017,55,19,43
34007603602,EB,65+,2017,<5,<5,<5
34007603603,EB,65+,2017,<5,0,<5
34007603700,EB,65+,2017,15,6,10
34007603800,EB,65+,2017,8,<5,6
34007603901,EB,65+,2017,18,5,16
34007603902,EB,65+,2017,7,<5,6
34007604100,EB,65+,2017,9,6,5
34007604200,EB,65+,2017,39,19,26
34007604300,EB,65+,2017,5,<5,<5
34007604400,EB,65+,2017,9,<5,8
34007604600,EB,65+,2017,6,<5,6
34007604700,EB,65+,2017,6,<5,<5
34007605100,EB,65+,2017,5,<5,<5
34007605200,EB,65+,2017,5,<5,<5
34007605300,EB,65+,2017,<5,<5,<5
34007605400,EB,65+,2017,7,<5,5
34007605602,EB,65+,2017,7,5,6
34007605700,EB,65+,2017,8,<5,5
34007605800,EB,65+,2017,8,<5,7
34007605900,EB,65+,2017,<5,0,<5
34007606000,EB,65+,2017,5,<5,<5
34007606100,EB,65+,2017,<5,<5,0
34007606200,EB,65+,2017,5,<5,<5
34007606300,EB,65+,2017,<5,<5,<5
34007606400,EB,65+,2017,12,<5,10
34007606500,EB,65+,2017,10,<5,8
34007606600,EB,65+,2017,6,<5,6
34007606700,EB,65+,2017,12,5,9
34007606800,EB,65+,2017,8,<5,8
34007607000,EB,65+,2017,9,<5,7
34007607100,EB,65+,2017,7,<5,<5
34007607200,EB,65+,2017,10,<5,9
34007607300,EB,65+,2017,8,<5,7
34007607401,EB,65+,2017,8,<5,7
34007607402,EB,65+,2017,11,0,11
34007607502,EB,65+,2017,55,18,43
34007607503,EB,65+,2017,44,12,39
34007607504,EB,65+,2017,<5,<5,0
34007607506,EB,65+,2017,<5,<5,<5
34007607507,EB,65+,2017,31,8,26
34007607600,EB,65+,2017,<5,0,<5
34007607701,EB,65+,2017,7,0,7
34007607702,EB,65+,2017,6,0,6
34007607801,EB,65+,2017,10,<5,9
34007607802,EB,65+,2017,6,0,6
34007607900,EB,65+,2017,<5,0,<5
34007608001,EB,65+,2017,7,<5,5
34007608202,EB,65+,2017,7,<5,6
34007608205,EB,65+,2017,6,<5,6
34007608206,EB,65+,2017,9,<5,7
34007608209,EB,65+,2017,7,<5,7
34007608210,EB,65+,2017,<5,<5,<5
34007608211,EB,65+,2017,7,<5,6
34007608302,EB,65+,2017,20,<5,17
34007608303,EB,65+,2017,6,<5,5
34007608304,EB,65+,2017,18,7,15
34007608401,EB,65+,2017,8,<5,8
34007608402,EB,65+,2017,6,<5,6
34007608403,EB,65+,2017,6,<5,<5
34007608404,EB,65+,2017,8,<5,6
34007608503,EB,65+,2017,10,<5,9
34007608504,EB,65+,2017,11,<5,10
34007608600,EB,65+,2017,10,<5,9
34007608700,EB,65+,2017,14,6,9
34007608800,EB,65+,2017,<5,0,<5
34007608901,EB,65+,2017,<5,0,<5
34007609000,EB,65+,2017,<5,0,<5
34007609103,EB,65+,2017,5,<5,<5
34007609201,EB,65+,2017,6,0,6
34007609202,EB,65+,2017,<5,<5,<5
34007609203,EB,65+,2017,15,<5,13
34007609204,EB,65+,2017,11,<5,8
34007609205,EB,65+,2017,<5,<5,<5
34007610300,EB,65+,2017,<5,0,<5
34007610400,EB,65+,2017,<5,<5,<5
34007610500,EB,65+,2017,16,8,9
34007610600,EB,65+,2017,35,11,28
34007610800,EB,65+,2017,33,16,26
34007610900,EB,65+,2017,7,<5,7
34007611000,EB,65+,2017,7,<5,7
34007611100,EB,65+,2017,<5,<5,<5
34007611200,EB,65+,2017,31,<5,30
34007611300,EB,65+,2017,14,7,9
34007611400,EB,65+,2017,5,<5,<5
34007611500,EB,65+,2017,<5,0,<5
34007611600,EB,65+,2017,12,7,6
34007611700,EB,65+,2017,6,0,6
34007600200,EF,18-64,2017,<5,<5,<5
34007600400,EF,18-64,2017,5,<5,<5
34007600800,EF,18-64,2017,8,7,<5
34007600900,EF,18-64,2017,10,9,<5
34007601000,EF,18-64,2017,<5,<5,0
34007601101,EF,18-64,2017,<5,<5,0
34007601102,EF,18-64,2017,6,6,0
34007601200,EF,18-64,2017,8,8,0
34007601300,EF,18-64,2017,7,5,<5
34007601400,EF,18-64,2017,<5,<5,0
34007601500,EF,18-64,2017,7,6,<5
34007601600,EF,18-64,2017,6,<5,<5
34007601700,EF,18-64,2017,<5,<5,0
34007601900,EF,18-64,2017,<5,<5,0
34007602000,EF,18-64,2017,<5,<5,<5
34007602503,EF,18-64,2017,<5,<5,<5
34007602601,EF,18-64,2017,<5,<5,0
34007602901,EF,18-64,2017,<5,<5,0
34007602902,EF,18-64,2017,<5,<5,<5
34007603001,EF,18-64,2017,<5,<5,0
34007603002,EF,18-64,2017,6,6,0
34007603100,EF,18-64,2017,<5,<5,<5
34007603200,EF,18-64,2017,<5,<5,0
34007603301,EF,18-64,2017,<5,<5,<5
34007603302,EF,18-64,2017,<5,0,<5
34007603303,EF,18-64,2017,<5,<5,<5
34007603400,EF,18-64,2017,<5,<5,0
34007603505,EF,18-64,2017,<5,<5,0
34007603601,EF,18-64,2017,<5,<5,<5
34007603603,EF,18-64,2017,<5,<5,0
34007603700,EF,18-64,2017,<5,<5,<5
34007603800,EF,18-64,2017,<5,<5,0
34007603902,EF,18-64,2017,<5,<5,0
34007604100,EF,18-64,2017,5,<5,<5
34007604200,EF,18-64,2017,<5,<5,0
34007604300,EF,18-64,2017,<5,<5,<5
34007604400,EF,18-64,2017,<5,<5,0
34007604600,EF,18-64,2017,<5,<5,0
34007604700,EF,18-64,2017,<5,<5,<5
34007605100,EF,18-64,2017,<5,<5,0
34007605200,EF,18-64,2017,<5,<5,0
34007605400,EF,18-64,2017,<5,<5,<5
34007605602,EF,18-64,2017,<5,<5,0
34007605700,EF,18-64,2017,<5,<5,<5
34007605800,EF,18-64,2017,<5,<5,<5
34007606100,EF,18-64,2017,<5,<5,0
34007606300,EF,18-64,2017,<5,0,<5
34007606500,EF,18-64,2017,<5,<5,<5
34007607000,EF,18-64,2017,<5,<5,0
34007607100,EF,18-64,2017,<5,<5,<5
34007607200,EF,18-64,2017,<5,<5,0
34007607300,EF,18-64,2017,<5,<5,0
34007607401,EF,18-64,2017,<5,<5,0
34007607402,EF,18-64,2017,<5,<5,<5
34007607502,EF,18-64,2017,<5,<5,<5
34007607503,EF,18-64,2017,<5,0,<5
34007607507,EF,18-64,2017,<5,<5,<5
34007607701,EF,18-64,2017,<5,<5,0
34007607702,EF,18-64,2017,<5,<5,0
34007607801,EF,18-64,2017,<5,<5,0
34007607802,EF,18-64,2017,<5,<5,0
34007608001,EF,18-64,2017,<5,<5,0
34007608202,EF,18-64,2017,<5,<5,0
34007608206,EF,18-64,2017,<5,<5,0
34007608209,EF,18-64,2017,<5,<5,<5
34007608210,EF,18-64,2017,<5,<5,0
34007608211,EF,18-64,2017,<5,<5,0
34007608302,EF,18-64,2017,<5,<5,0
34007608303,EF,18-64,2017,<5,<5,<5
34007608402,EF,18-64,2017,<5,<5,0
34007608404,EF,18-64,2017,<5,<5,0
34007608503,EF,18-64,2017,<5,<5,0
34007608504,EF,18-64,2017,<5,<5,<5
34007608600,EF,18-64,2017,<5,<5,0
34007608700,EF,18-64,2017,<5,<5,0
34007608901,EF,18-64,2017,<5,<5,0
34007609103,EF,18-64,2017,<5,<5,0
34007609201,EF,18-64,2017,<5,<5,0
34007609203,EF,18-64,2017,<5,<5,0
34007609205,EF,18-64,2017,<5,<5,0
34007610300,EF,18-64,2017,<5,<5,<5
34007610400,EF,18-64,2017,10,10,0
34007610500,EF,18-64,2017,<5,<5,0
34007610600,EF,18-64,2017,<5,<5,<5
34007610800,EF,18-64,2017,5,<5,<5
34007611000,EF,18-64,2017,6,5,<5
34007611400,EF,18-64,2017,<5,<5,0
34007611600,EF,18-64,2017,7,7,0
34007600200,EF,65+,2017,<5,<5,0
34007600400,EF,65+,2017,5,<5,<5
34007600700,EF,65+,2017,<5,<5,0
34007600800,EF,65+,2017,<5,<5,<5
34007601000,EF,65+,2017,<5,0,<5
34007601101,EF,65+,2017,<5,0,<5
34007601102,EF,65+,2017,<5,0,<5
34007601200,EF,65+,2017,<5,<5,0
34007601300,EF,65+,2017,5,<5,<5
34007601400,EF,65+,2017,6,<5,<5
34007601500,EF,65+,2017,<5,<5,0
34007601600,EF,65+,2017,<5,<5,0
34007601700,EF,65+,2017,<5,<5,0
34007601800,EF,65+,2017,<5,<5,<5
34007601900,EF,65+,2017,5,5,0
34007602000,EF,65+,2017,<5,<5,0
34007602503,EF,65+,2017,<5,<5,<5
34007602601,EF,65+,2017,<5,<5,<5
34007602901,EF,65+,2017,<5,<5,0
34007602902,EF,65+,2017,<5,<5,0
34007603002,EF,65+,2017,<5,<5,0
34007603100,EF,65+,2017,<5,<5,0
34007603200,EF,65+,2017,5,<5,<5
34007603301,EF,65+,2017,6,<5,<5
34007603302,EF,65+,2017,<5,0,<5
34007603400,EF,65+,2017,<5,0,<5
34007603501,EF,65+,2017,<5,<5,0
34007603503,EF,65+,2017,<5,0,<5
34007603506,EF,65+,2017,<5,0,<5
34007603601,EF,65+,2017,<5,<5,<5
34007603700,EF,65+,2017,<5,<5,0
34007603800,EF,65+,2017,<5,0,<5
34007603901,EF,65+,2017,<5,<5,<5
34007603902,EF,65+,2017,<5,<5,<5
34007604200,EF,65+,2017,<5,<5,0
34007604300,EF,65+,2017,<5,<5,0
34007604400,EF,65+,2017,<5,0,<5
34007604600,EF,65+,2017,<5,<5,<5
34007605100,EF,65+,2017,<5,<5,0
